# MANE Select GRCh38 v1.5: every gene, symbol and HGNC id.
# source MANE.GRCh38.v1.5.summary.txt.gz sha256 d10ace2720681a3b2e0eefd9da4f551274a6b4141ac9bfd6a2565dfb6e9ad55c
symbol	hgnc_id
APCS	HGNC:584
APEH	HGNC:586
APELA	HGNC:48925
APEX1	HGNC:587
APEX2	HGNC:17889
APH1A	HGNC:29509
APH1B	HGNC:24080
API5	HGNC:594
APIP	HGNC:17581
APLF	HGNC:28724
APLN	HGNC:16665
APLNR	HGNC:339
APLP1	HGNC:597
APLP2	HGNC:598
APMAP	HGNC:13238
APOA1	HGNC:600
APOA2	HGNC:601
APOA4	HGNC:602
APOA5	HGNC:17288
APOB	HGNC:603
APOBEC1	HGNC:604
APOBEC2	HGNC:605
APOBEC3A	HGNC:17343
APOBEC3A_B	HGNC:44196
APOBEC3B	HGNC:17352
APOBEC3C	HGNC:17353
APOBEC3D	HGNC:17354
APOBEC3F	HGNC:17356
APOBEC3G	HGNC:17357
APOBEC3H	HGNC:24100
APOBEC4	HGNC:32152
APOBR	HGNC:24087
APOC1	HGNC:607
APOC2	HGNC:609
APOC3	HGNC:610
APOC4	HGNC:611
APOD	HGNC:612
APOE	HGNC:613
APOF	HGNC:615
APOH	HGNC:616
APOL1	HGNC:618
APOL2	HGNC:619
APOL3	HGNC:14868
APOL4	HGNC:14867
APOL5	HGNC:14869
APOL6	HGNC:14870
APOLD1	HGNC:25268
APOM	HGNC:13916
APOO	HGNC:28727
APOOL	HGNC:24009
APP	HGNC:620
APPBP2	HGNC:622
APPL1	HGNC:24035
APPL2	HGNC:18242
APRT	HGNC:626
APTX	HGNC:15984
AQP1	HGNC:633
AQP10	HGNC:16029
AQP11	HGNC:19940
AQP12A	HGNC:19941
AQP12B	HGNC:6096
AQP2	HGNC:634
AQP3	HGNC:636
AQP4	HGNC:637
AQP5	HGNC:638
AQP6	HGNC:639
AQP7	HGNC:640
AQP7B	HGNC:53895
AQP8	HGNC:642
AQP9	HGNC:643
AQR	HGNC:29513
AR	HGNC:644
ARAF	HGNC:646
ARAP1	HGNC:16925
ARAP2	HGNC:16924
ARAP3	HGNC:24097
ARB2A	HGNC:25365
ARC	HGNC:648
ARCN1	HGNC:649
AREG	HGNC:651
AREL1	HGNC:20363
ARF1	HGNC:652
ARF3	HGNC:654
ARF4	HGNC:655
ARF5	HGNC:658
ARF6	HGNC:659
ARFGAP1	HGNC:15852
ARFGAP2	HGNC:13504
ARFGAP3	HGNC:661
ARFGEF1	HGNC:15772
ARFGEF2	HGNC:15853
ARFGEF3	HGNC:21213
ARFIP1	HGNC:21496
ARFIP2	HGNC:17160
ARFRP1	HGNC:662
ARG1	HGNC:663
ARG2	HGNC:664
ARGFX	HGNC:30146
ARGLU1	HGNC:25482
ARHGAP1	HGNC:673
ARHGAP10	HGNC:26099
ARHGAP11A	HGNC:15783
ARHGAP11B	HGNC:15782
ARHGAP12	HGNC:16348
ARHGAP15	HGNC:21030
ARHGAP17	HGNC:18239
ARHGAP18	HGNC:21035
ARHGAP19	HGNC:23724
ARHGAP20	HGNC:18357
ARHGAP21	HGNC:23725
ARHGAP22	HGNC:30320
ARHGAP23	HGNC:29293
ARHGAP24	HGNC:25361
ARHGAP25	HGNC:28951
ARHGAP26	HGNC:17073
ARHGAP27	HGNC:31813
ARHGAP28	HGNC:25509
ARHGAP29	HGNC:30207
ARHGAP30	HGNC:27414
ARHGAP31	HGNC:29216
ARHGAP32	HGNC:17399
ARHGAP33	HGNC:23085
ARHGAP35	HGNC:4591
ARHGAP36	HGNC:26388
ARHGAP39	HGNC:29351
ARHGAP4	HGNC:674
ARHGAP40	HGNC:16226
ARHGAP42	HGNC:26545
ARHGAP44	HGNC:29096
